ticker,name,market,sector
232140,와이씨,KOSDAQ,Unknown
319660,피에스케이,KOSDAQ GLOBAL,Unknown
323280,태성,KOSDAQ,Unknown
085660,차바이오텍,KOSDAQ,Unknown
397030,에이프릴바이오,KOSDAQ,Unknown
328130,루닛,KOSDAQ,Unknown
174900,앱클론,KOSDAQ,Unknown
376900,로킷헬스케어,KOSDAQ,Unknown
115180,큐리언트,KOSDAQ,Unknown
166090,하나머티리얼즈,KOSDAQ GLOBAL,Unknown
204270,제이앤티씨,KOSDAQ,Unknown
080220,제주반도체,KOSDAQ,Unknown
440110,파두,KOSDAQ,Unknown
388720,유일로보틱스,KOSDAQ,Unknown
161580,필옵틱스,KOSDAQ,Unknown
183300,코미코,KOSDAQ GLOBAL,Unknown
389470,인벤티지랩,KOSDAQ,Unknown
082270,젬백스,KOSDAQ,Unknown
095610,테스,KOSDAQ,Unknown
486990,노타,KOSDAQ,Unknown
131970,두산테스나,KOSDAQ GLOBAL,Unknown
056080,유진로봇,KOSDAQ,Unknown
388210,씨엠티엑스,KOSDAQ,Unknown
468530,프로티나,KOSDAQ,Unknown
218410,RFHIC,KOSDAQ,Unknown
043260,성호전자,KOSDAQ,Unknown
078600,대주전자재료,KOSDAQ,Unknown
281740,레이크머티리얼즈,KOSDAQ,Unknown
036540,SFA반도체,KOSDAQ,Unknown
358570,지아이이노베이션,KOSDAQ,Unknown
112040,위메이드,KOSDAQ,Unknown
006730,서부T&D,KOSDAQ,Unknown
476060,온코닉테라퓨틱스,KOSDAQ,Unknown
082920,비츠로셀,KOSDAQ,Unknown
137400,피엔티,KOSDAQ GLOBAL,Unknown
213420,덕산네오룩스,KOSDAQ GLOBAL,Unknown
424870,이뮨온시아,KOSDAQ,Unknown
086900,메디톡스,KOSDAQ,Unknown
417200,LS머트리얼즈,KOSDAQ,Unknown
295310,에이치브이엠,KOSDAQ,Unknown
056190,에스에프에이,KOSDAQ GLOBAL,Unknown
490470,세미파이브,KOSDAQ,Unknown
287840,인투셀,KOSDAQ,Unknown
348340,뉴로메카,KOSDAQ,Unknown
225570,넥슨게임즈,KOSDAQ,Unknown
033500,동성화인텍,KOSDAQ,Unknown
376300,디어유,KOSDAQ,Unknown
347700,스피어,KOSDAQ,Unknown
014620,성광벤드,KOSDAQ,Unknown
032820,우리기술,KOSDAQ,Unknown
036830,솔브레인홀딩스,KOSDAQ GLOBAL,Unknown
090360,로보스타,KOSDAQ,Unknown
009520,포스코엠텍,KOSDAQ GLOBAL,Unknown
042000,카페24,KOSDAQ,Unknown
086450,동국제약,KOSDAQ GLOBAL,Unknown
124500,아이티센글로벌,KOSDAQ,Unknown
025980,아난티,KOSDAQ,Unknown
067160,SOOP,KOSDAQ GLOBAL,Unknown
348210,넥스틴,KOSDAQ GLOBAL,Unknown
