2026-01-15 20:19:23,864 - INFO - ==================================================
2026-01-15 20:19:23,866 - INFO - 일일 VCP 스캔 시작: 2026-01-15 20:19:23
2026-01-15 20:19:23,866 - INFO - ==================================================
2026-01-15 20:19:23,866 - INFO - 전체 KRX 종목 스캔 시작...
2026-01-15 20:19:23,866 - INFO - 🚀 Starting Real-Time Scan [Mode: vcp_flow]...
2026-01-15 20:19:29,076 - ERROR - Error for 095610: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,075 - ERROR - Error for 161580: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,078 - ERROR - Error for 174900: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,078 - ERROR - Error for 358570: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,078 - ERROR - Error for 281740: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,079 - ERROR - Error for 476060: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,079 - ERROR - Error for 183300: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,079 - ERROR - Error for 090710: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,081 - ERROR - Error for 131970: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,127 - ERROR - Error for 388720: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,136 - ERROR - Error for 287840: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,240 - ERROR - Error for 078600: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,383 - ERROR - Error for 166090: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,385 - ERROR - Error for 036540: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,389 - ERROR - Error for 082920: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,393 - ERROR - Error for 213420: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,397 - ERROR - Error for 347700: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,398 - ERROR - Error for 424870: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,398 - ERROR - Error for 490470: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,398 - ERROR - Error for 086900: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,401 - ERROR - Error for 033500: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,406 - ERROR - Error for 388210: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,416 - ERROR - Error for 376300: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,427 - ERROR - Error for 295310: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,429 - ERROR - Error for 417200: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,585 - ERROR - Error for 056190: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,607 - ERROR - Error for 137400: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,628 - ERROR - Error for 006730: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,634 - ERROR - Error for 225570: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,647 - ERROR - Error for 372320: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,682 - ERROR - Error for 042000: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,704 - ERROR - Error for 043260: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,705 - ERROR - Error for 189300: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,705 - ERROR - Error for 124500: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,705 - ERROR - Error for 036830: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,723 - ERROR - Error for 014620: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,724 - ERROR - Error for 086450: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,724 - ERROR - Error for 067160: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,996 - ERROR - Error for 241710: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,006 - ERROR - Error for 100790: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,036 - ERROR - Error for 389650: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,052 - ERROR - Error for 336570: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,074 - ERROR - Error for 025980: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,082 - ERROR - Error for 053800: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,087 - ERROR - Error for 348210: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,097 - ERROR - Error for 460930: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
